Word,Regency Pronunciation,Cambridge Dictionary Link,Note,
Applicable,AP-lik-uh-bul,https://dictionary.cambridge.org/dictionary/english/applicable,,
Appurtenance,uh-PUR-tuh-nens,https://dictionary.cambridge.org/dictionary/english/appurtenance,Legal addition to property,
Appurtenances,uh-PUR-tuh-nunt-siz,https://dictionary.cambridge.org/dictionary/english/appurtenance,Accessories or associated items for a style of living,
Apropos,ap-ruh-POH,https://dictionary.cambridge.org/dictionary/english/apropos,,
Aquiline ,AK-wih-lyn ,https://dictionary.cambridge.org/dictionary/english/aquiline ,"Like an eagle (often describing a hero's nose). Rhymes with ""fine,"" not ""fin."" ",
Archdeacon,ARCH-dee-kun,https://dictionary.cambridge.org/dictionary/english/archdeacon,,
Archiepiscopal,ar-kee-ih-PIS-kuh-pul,https://dictionary.cambridge.org/dictionary/english/archiepiscopal,Stress on the fourth syllable,
Architect,AR-kih-tekt,https://dictionary.cambridge.org/dictionary/english/architect,,
Arctic,ARK-tik,https://dictionary.cambridge.org/dictionary/english/arctic,,
Armoire,arm-WAHR,https://dictionary.cambridge.org/dictionary/english/armoire,A tall  ornate cupboard or wardrobe,
Arnaud,ar-NOH,https://dictionary.cambridge.org/dictionary/english/arnaud,Surname; silent 'd',
Arriviste,a-ree-VEEST,https://dictionary.cambridge.org/dictionary/english/arriviste,An ambitious or ruthless social climber,
Artillery,ar-TIL-ree,https://dictionary.cambridge.org/dictionary/english/artillery,Three syllables (Swallow the 'e'),
Arundel,uh-RUN-dul,https://dictionary.cambridge.org/dictionary/english/arundel,,
Ascribed,uh-SKRYBD,https://dictionary.cambridge.org/dictionary/english/ascribe,,
Aspirin,Brittish: AS-pih-rin American: AS-prin,https://dictionary.cambridge.org/dictionary/english/aspirin,British three syllables,
Assiduity,ass-ih-dew-ity,https://dictionary.cambridge.org/dictionary/english/assiduity,Diligent effort,
Assiduous,uh-sid-yoo-us,https://dictionary.cambridge.org/dictionary/english/assiduous,Showing care,
Asterisk,AS-tuh-risk,https://dictionary.cambridge.org/dictionary/english/asterisk,"Often mispronounced as ""aster-ix""",
Asthma,AZ-muh,https://dictionary.cambridge.org/dictionary/english/asthma,,
Athlete,ATH-leet,https://dictionary.cambridge.org/dictionary/english/athlete,,
Attorney,uh-turn-ee,https://dictionary.cambridge.org/dictionary/english/attorney,Legal agent,
Aubosson,OH-bus-son,https://dictionary.cambridge.org/dictionary/french-english/aubusson,The carpet/tapestry,
Avarice,av-uh-riss,https://dictionary.cambridge.org/dictionary/english/avarice,Greed,
Average,AV-rij,https://dictionary.cambridge.org/dictionary/english/average,Two syllables,
Azimuth,AZ-ih-muth,https://dictionary.cambridge.org/dictionary/english/azimuth,Horizontal angle,
Bachelor,BATCH-ler,https://dictionary.cambridge.org/dictionary/english/bachelor,Two syllables (The ultimate Regency status),
Bade,bad (rhymes with had),https://dictionary.cambridge.org/dictionary/english/bade,Regency avoids 'bay-ded',
Badinage ,BAD-in-ahzh ,https://dictionary.cambridge.org/dictionary/english/badinage ,"Playful ridicule. Not ""buh-DIN-ij ",
Bagehot,BADGE-ut,https://dictionary.cambridge.org/dictionary/english/bagehot,Famous economist/surname,
Barbarous ,BAR-bruh-uss ,https://dictionary.cambridge.org/dictionary/english/barbarous ,Strictly three syllables ,
Baron,BAH-run,https://dictionary.cambridge.org/dictionary/english/baron,,
Baroness,BAH-run-ess,https://dictionary.cambridge.org/dictionary/english/baroness,,
Baronet,bear-uh-NET,https://dictionary.cambridge.org/dictionary/english/baronet,,
Barouche,bah-roosh,https://dictionary.cambridge.org/dictionary/english/barouche,Large carriage,
Barrister,bear-iss-ter,https://dictionary.cambridge.org/dictionary/english/barrister,Legal counsel,
Bas-relief,BAH-ri-LEEF,https://dictionary.cambridge.org/dictionary/english/bas-relief,Sculpture where figures project slightly from the background,
Battery,BAT-ree,https://dictionary.cambridge.org/dictionary/english/battery,Two syllables,
Beau ,BOH,https://dictionary.cambridge.org/dictionary/english/beau,,
Beauchamp,BEECH-um,https://dictionary.cambridge.org/dictionary/english/beauchamp,,
Beaulieu,BYOO-lee,https://dictionary.cambridge.org/dictionary/english/beaulieu,,
Bedfordshire,bed-furd-sheer,https://dictionary.cambridge.org/dictionary/english/bedfordshire,County,
Bedraggled,bih-DRAG-uld,https://dictionary.cambridge.org/dictionary/english/bedraggled,Dirty and disheveled,
Belgrave,bel-grayv,https://dictionary.cambridge.org/dictionary/english/belgrave,Fashionable square,
Belvoir,BEE-ver,https://dictionary.cambridge.org/dictionary/english/belvoir,,
Beneficence,beh-NEF-ih-sens,https://dictionary.cambridge.org/dictionary/english/beneficence,The quality of being kind,
Bergère,ber-ZHAIR,https://dictionary.cambridge.org/dictionary/english/bergere,Upholstered armchair with closed sides,
Berkeley,BARK-lee,https://dictionary.cambridge.org/dictionary/english/berkeley,,
Berkeley Square,BARK-lee,https://dictionary.cambridge.org/dictionary/english/berkeley,,
Bertie,BAR-tee,https://dictionary.cambridge.org/dictionary/english/bertie,,
Berwick-upon-Tweed,BER-rick,https://dictionary.cambridge.org/dictionary/english/berwick,,
Bessel,BESS-ul,https://dictionary.cambridge.org/dictionary/english/bessel,Rhymes with 'vessel',
Bethune,BEE-tun,https://dictionary.cambridge.org/dictionary/english/bethune,Surname,
Beverage,BEV-rij,https://dictionary.cambridge.org/dictionary/english/beverage,Two syllables,
Bicester,BIS-ter,https://dictionary.cambridge.org/dictionary/english/bicester,,
Billet-doux,BILL-ay-doo,https://dictionary.cambridge.org/dictionary/english/billet-doux,,
Bishop,BISH-up,https://dictionary.cambridge.org/dictionary/english/bishop,,
Blindness,BLYND-ness,https://dictionary.cambridge.org/dictionary/english/blindness,,
Blyth,BLYTHE (rhymes with scythe),https://dictionary.cambridge.org/dictionary/english/blyth,Common surname/place,
Boatswain,BOH-sun,https://dictionary.cambridge.org/dictionary/english/boatswain,,
Bodice,bod-iss,https://dictionary.cambridge.org/dictionary/english/bodice,Upper garment,
Bombazine,BUM-buh-zeen,https://dictionary.cambridge.org/dictionary/english/bombazine,,
Bon mot,BOH moh,https://dictionary.cambridge.org/dictionary/english/bon-mot,Witty remark; French,
Bon ton,BOHN TAHN,https://dictionary.cambridge.org/dictionary/english/bon-ton,"The fashionable elite; literally ""good tone""",
Bons mots,BOH MOHZ,https://dictionary.cambridge.org/dictionary/english/bon-mot,"Plural of ""bon mot""; witty remarks",
Bordering,BORD-ring,https://dictionary.cambridge.org/dictionary/english/bordering,Two syllables,
Borgia,BOR-juh,https://dictionary.cambridge.org/dictionary/english/borgia,Renaissance family known for danger,
Bosanquet,BO-zun-ket,https://dictionary.cambridge.org/dictionary/english/bosanquet,Huguenot-derived name,
Boudoir,BOO-dwahr,https://dictionary.cambridge.org/dictionary/english/boudoir,A woman's private sitting room or bedroom,
Boundary,BOWN-dree,https://dictionary.cambridge.org/dictionary/english/boundary,Two syllables,
Bourgeois,BOOR-zhwah,https://dictionary.cambridge.org/dictionary/english/bourgeois,,
Bournemouth,BORN-muth,https://dictionary.cambridge.org/dictionary/english/bournemouth,,
Bowline,BOH-lin,https://dictionary.cambridge.org/dictionary/english/bowline,Rhymes with 'stolen',
Braggadocio,brag-uh-DOH-chee-oh,https://dictionary.cambridge.org/dictionary/english/braggadocio,Boastful behavior,
Breadths,BRED-ths,https://dictionary.cambridge.org/dictionary/english/breadth,,
Breeches,BRIT-chiz,https://dictionary.cambridge.org/dictionary/english/breeches,Never 'bree-ches',
Brigand,BRIG-und,https://dictionary.cambridge.org/dictionary/english/brigand,Ambush gang member,
Broadcloth,BRAWD-kloth,https://dictionary.cambridge.org/dictionary/english/broadcloth,Heavy wool for sturdy upholstery ,
Brocade,bro-CADE,https://dictionary.cambridge.org/dictionary/english/brocade,Stress second syllable,
Brocades,bruh-KAYDZ,https://dictionary.cambridge.org/dictionary/english/brocade,Rich woven fabric,
Brougham,BROOM,https://dictionary.cambridge.org/dictionary/english/brougham,,
Bruited,BRU-it-ted,https://dictionary.cambridge.org/dictionary/english/bruited,Widely reported,
Bruschetta,broo-SKET-tuh,https://dictionary.cambridge.org/dictionary/english/bruschetta,,
Buckram,buck-rum,https://dictionary.cambridge.org/dictionary/english/buckram,Stiffened cloth,
Buoyant,BOY-unt,https://dictionary.cambridge.org/dictionary/english/buoyant,,
Bury,BER-ee,https://dictionary.cambridge.org/dictionary/english/bury,Rhymes with 'berry' (not 'fury'),
Business,BIZ-niss,https://dictionary.cambridge.org/dictionary/english/business,Not 'busy-ness',
Butter,BUT-ter,https://dictionary.cambridge.org/dictionary/english/butter,,
Button,BUT-tun,https://dictionary.cambridge.org/dictionary/english/button,,
Cabinet,KAB-nit,https://dictionary.cambridge.org/dictionary/english/cabinet,Two syllables (The furniture or the council),
Cabriolet,kab-ree-uh-LAY,https://dictionary.cambridge.org/dictionary/english/cabriolet,A light two wheeled one horse carriage,
Cache,KASH,https://dictionary.cambridge.org/dictionary/english/cache,,
Cachet,kash-AY,https://dictionary.cambridge.org/dictionary/english/cachet,,
Cadogan,kuh-DUG-un,https://dictionary.cambridge.org/dictionary/english/cadogan,Famous London estate/square,
Camera,KAM-er-uh,https://dictionary.cambridge.org/dictionary/english/camera,,
Canaille,kuh-NYE,https://dictionary.cambridge.org/dictionary/english/canaille,The vulgar masses or rabble,
Candidate,KAN-dih-dayt,https://dictionary.cambridge.org/dictionary/english/candidate,,
Capillary,kuh-PIL-uh-ree,https://dictionary.cambridge.org/dictionary/english/capillary,Stress on second syllable (British),
Caprice,kuh-preess,https://dictionary.cambridge.org/dictionary/english/caprice,Sudden whim,
Captain,KAP-tun,https://dictionary.cambridge.org/dictionary/english/captain,,
Caramel,KAR-uh-mul,https://dictionary.cambridge.org/dictionary/english/caramel,Three syllables in British/Regency; 'KAR-mul' is US modern,
Carte blanche,KART BLANSH,https://dictionary.cambridge.org/dictionary/english/carte-blanche,Complete freedom to act as one wishes,
Catholic,KATH-lik,https://dictionary.cambridge.org/dictionary/english/catholic,Two syllables in historical context,
Cause célèbre,KOHZ suh-LEB-ruh,https://dictionary.cambridge.org/dictionary/english/cause-celebre,A controversial issue that attracts great public attention,
Cavalier,kav-uh-LEER,https://dictionary.cambridge.org/dictionary/english/cavalier,"Lack of proper concern; ""monstrously unfair"" (Ch 22)",
Cavalry,KAV-ul-ree,https://dictionary.cambridge.org/dictionary/english/cavalry,,
Certain,SER-tun,https://dictionary.cambridge.org/dictionary/english/certain,,
Cervical ,SUR-vih-kul ,https://dictionary.cambridge.org/dictionary/english/cervical,"In medical/technical narration, the stress is on the first syllable. ser-VY-kul is a common ""layman"" drift. ",
Chafe,chayf,https://dictionary.cambridge.org/dictionary/english/chafe,Become annoyed,
Chaise longue,SHAYZ LONG,https://dictionary.cambridge.org/dictionary/english/chaise-longue,"A long sofa; never say ""lounge""",
Chamberlain,chame-ber-lin,https://dictionary.cambridge.org/dictionary/english/chamberlain,Official title,
Chambre à coucher,SHAHM-bruh-ah-koo-SHAY,https://dictionary.cambridge.org/dictionary/english/chambre,Bedroom; used in highly formal or architectural contexts,
Chamois,SHAM-wah,https://dictionary.cambridge.org/dictionary/english/chamois,"Soft leather; ""SHAM-wah"" or ""SHAM-ee""",
Chandelier,shan-duh-LEER,https://dictionary.cambridge.org/dictionary/english/chandelier,"Ornate hanging light; watch the ""sh"" sound",
Chaos,KAY-oss,https://dictionary.cambridge.org/dictionary/english/chaos,,
Chaperon,SHAP-uh-rohn,https://dictionary.cambridge.org/dictionary/english/chaperon,"Older woman accompanying a debutante; ""sh"" sound",
Charade,shuh-RAHD,https://dictionary.cambridge.org/dictionary/english/charade,"Absurd pretense; ""RAHD"" not ""RAYD""",
Charcuterie,shahr-KOO-tuh-ree,https://dictionary.cambridge.org/dictionary/english/charcuterie,,
Chargé d'affaires,shar-ZHAY dah-FAIR,https://dictionary.cambridge.org/dictionary/english/charge-d-affaires,A diplomatic official; high-status title,
Chassis,SHASS-ee,https://dictionary.cambridge.org/dictionary/english/chassis,,
Chattering,CHAT-ring,https://dictionary.cambridge.org/dictionary/english/chattering,Two syllables,
Chemise,shuh-meez,https://dictionary.cambridge.org/dictionary/english/chemise,Undergarment,
Chemisette ,shem-ih-ZET ,https://dictionary.cambridge.org/dictionary/english/chemise,A lace or fabric insert for a low neckline. ,
Chichester,CHIT-chi-ster,https://dictionary.cambridge.org/dictionary/english/chichester,,
Chiffonier,shif-uh-NEER,https://dictionary.cambridge.org/dictionary/english/chiffonier,Tall  elegant chest of drawers or sideboard,
Chignon,sheen-yon,https://dictionary.cambridge.org/dictionary/english/chignon,Hairstyle,
Chintz,chints,https://dictionary.cambridge.org/dictionary/english/chintz,Printed fabric,
Chipotle,chih-POAT-lay,https://dictionary.cambridge.org/dictionary/english/chipotle,,
Chiswick,chiz-ick,https://dictionary.cambridge.org/dictionary/english/chiswick,London district,
Chivalry,SHIV-ul-ree,https://dictionary.cambridge.org/dictionary/english/chivalry,Three syllables; swallow the middle 'a',
Chocolate,CHOK-uh-lit,https://dictionary.cambridge.org/dictionary/english/chocolate,,
Cholmondeley,CHUM-lee,https://dictionary.cambridge.org/dictionary/english/cholmondeley,,
Ci-devant,see-duh-VAHN,https://dictionary.cambridge.org/dictionary/english/ci-devant,Former; used for French aristocrats who lost titles in the Revolution,
Cicisbeo,chi-chiz-BAY-oh,https://dictionary.cambridge.org/dictionary/english/cicisbeo,Recognized escort of a married woman,
Cirencester,SIS-it-er,https://dictionary.cambridge.org/dictionary/english/cirencester,Archaic local (Regency standard),
Clambered,Clam-bird,https://dictionary.cambridge.org/dictionary/english/clamber,To climb awkwardly,
Clerisy,KLER-uh-see,https://dictionary.cambridge.org/dictionary/english/clerisy,Three syllables,
Cley,CLY (rhymes with sky),https://dictionary.cambridge.org/dictionary/english/cley,Coastal village,
Clothes,KLO-thz,https://dictionary.cambridge.org/dictionary/english/clothes,,
Cockburn,KO-burn,https://dictionary.cambridge.org/dictionary/english/cockburn,,
Coiffure,kwah-FYOOR,https://dictionary.cambridge.org/dictionary/english/coiffure,An elaborate hairstyle,
Colloquial,kuh-LOH-kwee-ul,https://dictionary.cambridge.org/dictionary/english/colloquial,Four syllables; ensure 'kwee' is crisp,
Colonel,KUR-nel,https://dictionary.cambridge.org/dictionary/english/colonel,,
Colquhoun,ko-HOON,https://dictionary.cambridge.org/dictionary/english/colquhoun,,
Comatose,KOH-muh-tohss,https://dictionary.cambridge.org/dictionary/english/comatose,,
Comfit,KUM-fit,https://dictionary.cambridge.org/dictionary/english/comfit,Sweets or candy,
Comfortable,KUM-fur-tuh-bul,https://dictionary.cambridge.org/dictionary/english/comfortable,,
Comme il faut,kum eel FOH,https://dictionary.cambridge.org/dictionary/english/comme-il-faut,As it should be; according to etiquette,
Commodore,KOM-uh-dor,https://dictionary.cambridge.org/dictionary/english/commodore,,
Comparable,KOM-pruh-bul,https://dictionary.cambridge.org/dictionary/english/comparable,,
Comte,kont,https://dictionary.cambridge.org/dictionary/french-english/comte,French Count,
Condescension,con-deh-sen-shun,https://dictionary.cambridge.org/dictionary/english/condescension,Patronizing behavior,
Conduit,KON-dwit,https://dictionary.cambridge.org/dictionary/english/conduit,,
Confectionery,kun-FEK-shun-ree,https://dictionary.cambridge.org/dictionary/english/confectionery,Four syllables (Swallow the second 'e'),
Confederate,kun-FED-er-ut,https://dictionary.cambridge.org/dictionary/english/confederate,Ally in a crime; short 'u',
Consanguinity,Con-sang-win-it-tee,https://dictionary.cambridge.org/pronunciation/english/consanguinity,,
Conservatory,con-serv-uh-tree,https://dictionary.cambridge.org/dictionary/english/conservatory,Compressed in UK,
Considerable,kun-SID-ruh-bul,https://dictionary.cambridge.org/dictionary/english/considerable,Four syllables; swallow the 'er',
Consols,kon-solz,https://dictionary.cambridge.org/dictionary/english/consols,Government bonds,
Consommé,kon-suh-MAY,https://dictionary.cambridge.org/dictionary/english/consomme,A clear soup made from richly flavored stock,
Consort,kun-SORT,https://dictionary.cambridge.org/dictionary/english/consort,Verb: to habitually associate with,
Conspiratorial,kun-speer-uh-TOR-ee-ul,https://dictionary.cambridge.org/dictionary/english/conspiratorial,Relating to a conspiracy,
Conspiratorially,kun-speer-uh-TOR-ee-uh-lee,https://dictionary.cambridge.org/dictionary/english/conspiratorially,Manner of a secret plan,
Consummate,con-SUM-mit,https://dictionary.cambridge.org/dictionary/english/consummate,Adjective form,
Contretemps,KON-truh-tahn,https://dictionary.cambridge.org/dictionary/english/contretemps,An unfortunate or embarrassing happenstance,
Contumely,KON-tyoo-muh-lee,https://dictionary.cambridge.org/dictionary/english/contumely,Four syllables; stress on 1st,
Conyngham,KUN-ning-um,https://dictionary.cambridge.org/dictionary/english/conyngham,Noble family name,
Copious,ko-pee-us,https://dictionary.cambridge.org/dictionary/english/copious,Abundant,
Copyhold,KOP-ee-hold,https://dictionary.cambridge.org/dictionary/english/copyhold,Type of land tenure,
Corinthian ,kuh-RIN-thee-un ,https://dictionary.cambridge.org/dictionary/english/corinthian,"A man of the ""ton"" who was a patron of sports (boxing, racing) and high fashion. ",
Cornice,KOR-nis,https://dictionary.cambridge.org/dictionary/english/cornice,Ornamental molding around the wall below the ceiling,
Corporate,KOR-prit,https://dictionary.cambridge.org/dictionary/english/corporate,Two syllables (Swallow the 'po'),
Corps,KOR,https://dictionary.cambridge.org/dictionary/english/corps,,
Corseted,COR-set-ed,https://dictionary.cambridge.org/dictionary/english/corset,Three distinct syllables,
Cortège,kor-TEZH,https://dictionary.cambridge.org/dictionary/english/cortege,A funeral procession or a solemn parade,
Costessey,KOS-ee,https://dictionary.cambridge.org/dictionary/english/costessey,Norfolk,
Coterie ,KOH-tuh-ree ,https://dictionary.cambridge.org/dictionary/english/coterie ,"A small group of people; rhymes with ""go"" at the start ",
Cotillion,ko-til-yun,https://dictionary.cambridge.org/dictionary/english/cotillion,Elaborate dance,
Countenance,kown-ten-ans,https://dictionary.cambridge.org/dictionary/english/countenance,Face/Expression,
Countess,COUNT-ess,https://dictionary.cambridge.org/dictionary/english/countess,,
Coup,Coo,https://dictionary.cambridge.org/dictionary/english/coup,Silent P,
Coupe,KOOP,https://dictionary.cambridge.org/dictionary/english/coupe,,
Coupon ,KOO-pon ,https://dictionary.cambridge.org/dictionary/english/coupon ,Never KYOO-pon ,
Couscous,KOOS-koos,https://dictionary.cambridge.org/dictionary/english/couscous,,
Cowper,KOOPER,https://dictionary.cambridge.org/dictionary/english/cowper,The poet (often mispronounced),
Cravat,kruh-VAT,https://dictionary.cambridge.org/dictionary/english/cravat,,
Crinoline,KRIN-uh-lin,https://dictionary.cambridge.org/dictionary/english/crinoline,,
Crisps,KRIS-ps,https://dictionary.cambridge.org/dictionary/english/crisps,,
Crockery,KROK-er-ee,https://dictionary.cambridge.org/dictionary/english/crockery,Plates and dishes,
Culinary,KUL-in-ree,https://dictionary.cambridge.org/dictionary/english/culinary,Three syllables (British standard),
Curate,KYUR-it,https://dictionary.cambridge.org/dictionary/english/curate,,
Curiosity,kyoor-ee-OSS-it-ee,https://dictionary.cambridge.org/dictionary/english/curiosity,Ensure five beats; avoid 'kyoor-oss-it-ee',
Curragh,KUR-uh,https://dictionary.cambridge.org/dictionary/english/curragh,A type of boat or a plain; common in Irish-set scenes,
Curricle,kur-ick-ul,https://dictionary.cambridge.org/dictionary/english/curricle,Two-wheeled carriage,
Curtilage,KUR-tih-lij,https://dictionary.cambridge.org/dictionary/english/curtilage,Land around a dwelling,
Cyprian ,SIP-ree-un ,link not found,"A common Regency euphemism for a ""woman of the night"" or high-class prostitute ",
D’Amico,dah-MEE-koh,https://dictionary.cambridge.org/dictionary/english/damico,Bella's surname; Italian,
Dais,DAY-iss,https://dictionary.cambridge.org/dictionary/english/dais,Avoid 'dye-as',
Dalziel,dee-ELL,https://dictionary.cambridge.org/dictionary/english/dalziel,,
Damask,dam-usk,https://dictionary.cambridge.org/dictionary/english/damask,Patterned fabric,
Data,DAY-tuh,https://dictionary.cambridge.org/dictionary/english/data,,
Davenport,dav-en-port,https://dictionary.cambridge.org/dictionary/english/davenport,Small desk,
Debris,duh-BREE,https://dictionary.cambridge.org/dictionary/english/debris,,
Débutante,deb-yoo-tant,https://dictionary.cambridge.org/dictionary/english/debutante,Young lady at court,
Debutante ,deb-yoo-tant,https://dictionary.cambridge.org/dictionary/english/debutante,Young lady at court,
Déclassé,day-klah-SAY,https://dictionary.cambridge.org/dictionary/english/declasse,Reduced in social status,
Décolletage,day-kol-TAHZH,https://dictionary.cambridge.org/dictionary/english/decolletage,Low neckline of a dress,
Decorative,DEK-ruh-tiv,https://dictionary.cambridge.org/dictionary/english/decorative,Three syllables in British standard; swallow the 'or',
Deficit,DEF-ih-sit,https://dictionary.cambridge.org/dictionary/english/deficit,,
Deign,dayn,https://dictionary.cambridge.org/dictionary/english/deign,To do something 'beneath' one,
Deliverance,duh-LIV-runss,https://dictionary.cambridge.org/dictionary/english/deliverance,Three syllables; swallow the 'er',
Delivery,duh-LIV-ree,https://dictionary.cambridge.org/dictionary/english/delivery,Three syllables; don't add a fourth,
Demesne,dih-MAYN,https://dictionary.cambridge.org/dictionary/english/demesne,Estate land,
Demi-monde,DEM-ee-mond,https://dictionary.cambridge.org/dictionary/english/demi-monde,A class of women on the fringes of respectable society,
Demonstrative ,duh-MON-struh-tiv ,https://dictionary.cambridge.org/dictionary/english/demonstrative ,"Unlike Demonstrate, the stress shifts to the second syllable ",
Demur,dih-MUR,https://dictionary.cambridge.org/dictionary/english/demur,,
Demurring,de-mur-ring,https://dictionary.cambridge.org/dictionary/english/demur,Objecting,
Dengue,DEN-gee,https://dictionary.cambridge.org/dictionary/english/dengue,,
Derby,DAR-bee,https://dictionary.cambridge.org/dictionary/english/derby,,
Des Voeux,DEVOO,https://dictionary.cambridge.org/dictionary/english/des-voeux,French-origin surname,
Déshabillé,dez-ah-BEE-ay,https://dictionary.cambridge.org/dictionary/english/deshabille,The state of being only partially dressed,
Desks,DES-ks,https://dictionary.cambridge.org/dictionary/english/desk,,
Desolate,DESS-uh-lut,https://dictionary.cambridge.org/dictionary/english/desolate,Adjective is two/three syllables; swallow the 'o',
Desperate,DESS-prut,https://dictionary.cambridge.org/dictionary/english/desperate,Two syllables,
Despicable,DESS-pik-uh-bul,https://dictionary.cambridge.org/dictionary/english/despicable,Stress the first syllable,
Desuetude ,DESS-wih-tyood ,https://dictionary.cambridge.org/dictionary/english/desuetude ,"State of disuse; a very ""Regency"" word for a crumbling estate. ",
Deteriorate,de-TEER-ee-or-ayt,https://dictionary.cambridge.org/dictionary/english/deteriorate,,
Diamond,DY-mund,https://dictionary.cambridge.org/dictionary/english/diamond,Strictly two syllables,
Dictionary,DIK-shun-ree,https://dictionary.cambridge.org/dictionary/english/dictionary,Swallow the penultimate syllable,
Dietary,DY-uh-tree,https://dictionary.cambridge.org/dictionary/english/dietary,Three syllables; swallow the 'a',
Difference,DIF-runss,https://dictionary.cambridge.org/dictionary/english/difference,Two syllables; swallow the 'er',
Different,DIF-runt,https://dictionary.cambridge.org/dictionary/english/different,Strictly two syllables,
Diffident,dif-fih-dent,https://dictionary.cambridge.org/dictionary/english/diffident,Shy/Lacking confidence,
Diffraction,dih-FRAK-shun,https://dictionary.cambridge.org/dictionary/english/diffraction,Wave behavior,
Dilate,DY-layt,https://dictionary.cambridge.org/dictionary/english/dilate,,
Dilation,dy-LAY-shun,https://dictionary.cambridge.org/dictionary/english/dilation,"Often misread as ""di-lat-ion""",
Diocese,DY-uh-siss,https://dictionary.cambridge.org/dictionary/english/diocese,Never 'die-oh-seese',
Diphtheria,DIF-theer-ee-uh,https://dictionary.cambridge.org/dictionary/english/diphtheria,,
Diphthong,DIF-thong,https://dictionary.cambridge.org/dictionary/english/diphthong,Apirated 'f' sound,
Disastrous,diz-AS-trus,https://dictionary.cambridge.org/dictionary/english/disastrous,,
Discovery,dis-KUV-ree,https://dictionary.cambridge.org/dictionary/english/discovery,Three syllables; swallow the second 'e',
Dissimulation,dih-sim-yoo-lay-shun,https://dictionary.cambridge.org/dictionary/english/dissimulation,Deception,
Distrait,dih-STRAY,https://dictionary.cambridge.org/dictionary/english/distrait,"Distracted or absent-minded; ""dih-STRAY"" (French)",
Divan,dih-VAN,https://dictionary.cambridge.org/dictionary/english/divan,Emphasis on 'van',
Divisiveness,dih-VY-siv-ness,https://dictionary.cambridge.org/dictionary/english/divisiveness,Tendency to cause disagreement,
Docile,DOE-syle,https://dictionary.cambridge.org/dictionary/english/docile,UK/Period standard,
Don Quixote ,don-kee-HOH-tee or DON KWIK-sut ,https://dictionary.cambridge.org/dictionary/english/quixotic ,Traditional British/Regency context: (DON KWIK-sut) ,
